Type,Make_Model,Combined_LP100km
Two Seaters,Acura_NSX,11.200694444444443
Two Seaters,ALFA ROMEO_4C,8.41837982481884
Two Seaters,Aston Martin Lagonda Ltd_Vantage V8,11.229838549250832
Two Seaters,Audi_TT Roadster quattro,9.048385214706304
Two Seaters,BMW_Z4 sDrive30i,8.513014235734106
Two Seaters,Bugatti_Chiron,22.206605237236552
Two Seaters,Chevrolet_CORVETTE,16.132576822746984
Two Seaters,Chevrolet_CORVETTE,12.952915510228056
Two Seaters,Chevrolet_CORVETTE,14.026081607015785
Two Seaters,Chevrolet_CORVETTE,15.635732835218988
Two Seaters,Chevrolet_CORVETTE,13.520022033817117
Two Seaters,Chevrolet_CORVETTE,12.224908959873044
Two Seaters,"Ferrari North America, Inc._488 gtb",13.13446261116881
Two Seaters,"Ferrari North America, Inc._488 gtb",13.265725753388605
Two Seaters,"Ferrari North America, Inc._488 Pista",13.987297047111037
Two Seaters,"Ferrari North America, Inc._488 Pista Spider",14.159743751818517
Two Seaters,"Ferrari North America, Inc._488 Spider",13.13446261116881
Two Seaters,"Ferrari North America, Inc._488 Spider",13.265725753388605
Two Seaters,"Ferrari North America, Inc._812 Superfast",17.630691641931257
Two Seaters,FIAT_124 Spider,8.027856276607121
Two Seaters,FIAT_124 Spider,7.928706181894996
Two Seaters,Ford_FORD GT,17.27651606964041
Two Seaters,Jaguar_F-TYPE Convertible,9.165656766396753
Two Seaters,Jaguar_F-TYPE Convertible,10.36557464704733
Two Seaters,Jaguar_F-TYPE Convertible Manual,12.602041454145413
Two Seaters,Jaguar_F-TYPE Coupe,9.165656766396753
Two Seaters,Jaguar_F-TYPE Coupe,10.36557464704733
Two Seaters,Jaguar_F-TYPE Coupe Manual,12.602041454145413
Two Seaters,Jaguar_F-TYPE R AWD Convertible,13.417907879299555
Two Seaters,Jaguar_F-TYPE R AWD Coupe,13.417907879299555
Two Seaters,Jaguar_F-TYPE S AWD Convertible,11.273975283789074
Two Seaters,Jaguar_F-TYPE S AWD Coupe,11.273975283789074
Two Seaters,Jaguar_F-TYPE S Convertible,10.771328763129413
Two Seaters,Jaguar_F-TYPE S Convertible Manual,12.87668726881885
Two Seaters,Jaguar_F-TYPE S Coupe,10.771328763129413
Two Seaters,Jaguar_F-TYPE S Coupe Manual,12.87668726881885
Two Seaters,Jaguar_F-TYPE SVR AWD Convertible GEN2,12.74951803811248
Two Seaters,Jaguar_F-TYPE SVR AWD Coupe GEN2,12.74951803811248
Two Seaters,Lamborghini_Aventador Coupe,21.462751234883324
Two Seaters,Lamborghini_Aventador Roadster,21.716592343652383
Two Seaters,Lamborghini_Huracan,15.59271744150331
Two Seaters,Lamborghini_Huracan 2WD,15.860085453948816
Two Seaters,Lamborghini_Huracan Spyder,15.59271744150331
Two Seaters,Lamborghini_Huracan Spyder 2WD,15.860085453948816
Two Seaters,MAZDA_MX-5,7.913314986705423
Two Seaters,MAZDA_MX-5,8.100428873667088
Two Seaters,Mercedes-Benz_AMG GT (coupe),12.972775590044526
Two Seaters,Mercedes-Benz_AMG GT (roadster),12.972775590044526
Two Seaters,Mercedes-Benz_AMG GT C (coupe),13.482204440674142
Two Seaters,Mercedes-Benz_AMG GT C (roadster),13.482204440674142
Two Seaters,Mercedes-Benz_AMG GT R (coupe),14.032524763205881
Two Seaters,Mercedes-Benz_AMG GT S (coupe),13.031351050883012
Two Seaters,Mercedes-Benz_AMG SL 63,13.007929441519561
Two Seaters,Mercedes-Benz_AMG SLC 43,10.180069738387274
Two Seaters,Mercedes-Benz_SL 450,10.323900337232352
Two Seaters,Mercedes-Benz_SL 550,11.589437283614838
Two Seaters,Mercedes-Benz_SLC 300,8.787057203234172
Two Seaters,NISSAN_370Z,10.809692426944121
Two Seaters,NISSAN_370Z,11.785832990937362
Two Seaters,NISSAN_370Z Roadster,11.334550083526086
Two Seaters,Porsche_911 GT2 RS,13.518079501915707
Two Seaters,Porsche_911 GT3,13.934595781570584
Two Seaters,Porsche_911 GT3,15.07157808178216
Two Seaters,Porsche_911 GT3 RS,14.342352642276422
Two Seaters,Porsche_911 GT3 Touring,14.067605445675813
Two Seaters,Porsche_Boxster,9.387555209663686
Two Seaters,Porsche_Boxster,9.796525753158404
Two Seaters,Porsche_Boxster GTS,10.649168915288818
Two Seaters,Porsche_Boxster GTS,11.035166940339353
Two Seaters,Porsche_Boxster S,9.876865269490413
Two Seaters,Porsche_Boxster S,10.681036583612224
Two Seaters,Porsche_Cayman,9.387555209663686
Two Seaters,Porsche_Cayman,9.796525753158404
Two Seaters,Porsche_Cayman GTS,10.649168915288818
Two Seaters,Porsche_Cayman GTS,11.035166940339353
Two Seaters,Porsche_Cayman S,9.876865269490413
Two Seaters,Porsche_Cayman S,10.681036583612224
Minicompact Cars,Aston Martin Lagonda Ltd_DB11 V12,13.272312880643108
Minicompact Cars,Aston Martin Lagonda Ltd_DB11 V8,11.52267078818281
Minicompact Cars,Aston Martin Lagonda Ltd_DBS,13.810561802150913
Minicompact Cars,Aston Martin Lagonda Ltd_Vanquish S,14.717929063813365
Minicompact Cars,"Ferrari North America, Inc._GTC4Lusso",17.573129670997417
Minicompact Cars,"Ferrari North America, Inc._GTC4Lusso T",13.8410370326782
Minicompact Cars,"Ferrari North America, Inc._Portofino",12.94414788725935
Minicompact Cars,FIAT_500,8.6646056350826
Minicompact Cars,FIAT_500,7.902361602458359
Minicompact Cars,FIAT_500 Abarth,8.6646056350826
Minicompact Cars,FIAT_500 Abarth,7.902361602458359
Minicompact Cars,Mini_COOPER CONVERTIBLE,7.878196411266371
Minicompact Cars,Mini_COOPER CONVERTIBLE,7.486261185993835
Minicompact Cars,Mini_COOPER S CONVERTIBLE,8.344789560199144
Minicompact Cars,Mini_COOPER S CONVERTIBLE,8.953597331343769
Minicompact Cars,Mini_JOHN COOPER WORKS CONVERTIBLE,8.344789560199144
Minicompact Cars,Mini_JOHN COOPER WORKS CONVERTIBLE,9.290849686110935
Minicompact Cars,Porsche_911 Carrera,9.441780634042626
Minicompact Cars,Porsche_911 Carrera,10.138253730850074
Minicompact Cars,Porsche_911 Carrera 4,9.607339982899557
Minicompact Cars,Porsche_911 Carrera 4,10.361236898752207
Minicompact Cars,Porsche_911 Carrera 4 Cabriolet,9.812014105286282
Minicompact Cars,Porsche_911 Carrera 4 Cabriolet,10.510457674050041
Minicompact Cars,Porsche_911 Carrera 4 GTS,10.643193815987932
Minicompact Cars,Porsche_911 Carrera 4 GTS,11.042938184663535
Minicompact Cars,Porsche_911 Carrera 4 GTS Cabriolet,10.740391933028919
Minicompact Cars,Porsche_911 Carrera 4 GTS Cabriolet,11.147610584518166
Minicompact Cars,Porsche_911 Carrera 4S,9.894772894265985
Minicompact Cars,Porsche_911 Carrera 4S,10.428027280250635
Minicompact Cars,Porsche_911 Carrera 4S Cabriolet,9.859807566821345
Minicompact Cars,Porsche_911 Carrera 4S Cabriolet,10.524189519117908
Minicompact Cars,Porsche_911 Carrera Cabriolet,9.68866320939039
Minicompact Cars,Porsche_911 Carrera Cabriolet,10.30133853623785
Minicompact Cars,Porsche_911 Carrera GTS,10.407724926253685
Minicompact Cars,Porsche_911 Carrera GTS,11.147610584518166
Minicompact Cars,Porsche_911 Carrera GTS Cabriolet,10.643193815987932
Minicompact Cars,Porsche_911 Carrera GTS Cabriolet,11.042938184663535
Minicompact Cars,Porsche_911 Carrera S,9.661323557600152
Minicompact Cars,Porsche_911 Carrera S,10.342648615056296
Minicompact Cars,Porsche_911 Carrera S Cabriolet,9.728454931480407
Minicompact Cars,Porsche_911 Carrera S Cabriolet,10.387684967643542
Minicompact Cars,Porsche_911 Carrera T,10.643193815987932
Minicompact Cars,Porsche_911 Carrera T,12.25075954861111
Minicompact Cars,Porsche_911 Targa 4,9.756054987778034
Minicompact Cars,Porsche_911 Targa 4,10.510457674050041
Minicompact Cars,Porsche_911 Targa 4 GTS,10.78965978593272
Minicompact Cars,Porsche_911 Targa 4 GTS,11.418183656957925
Minicompact Cars,Porsche_911 Targa 4S,9.980294524897563
Minicompact Cars,Porsche_911 Targa 4S,10.524189519117908
Minicompact Cars,Porsche_911 Turbo,11.382984815562233
Minicompact Cars,Porsche_911 Turbo Cabriolet,11.422896988239481
Minicompact Cars,Porsche_911 Turbo S,11.382984815562233
Minicompact Cars,Porsche_911 Turbo S Cabriolet,11.422896988239481
Minicompact Cars,Porsche_911 Turbo S Exclusive Cabriolet,12.740057377256363
Minicompact Cars,Subaru_BRZ,8.558704023772702
Minicompact Cars,Subaru_BRZ,9.852456189586587
Minicompact Cars,TOYOTA_86,8.71187709804822
Minicompact Cars,TOYOTA_86,9.883796257388573
Subcompact Cars,Aston Martin Lagonda Ltd_Rapide S,14.131330517656057
Subcompact Cars,Audi_A3,8.072711100433583
Subcompact Cars,Audi_A3 Cabriolet,8.072711100433583
Subcompact Cars,Audi_A3 Cabriolet quattro,9.450961444450249
Subcompact Cars,Audi_A3 quattro,9.568414122841274
Subcompact Cars,Audi_A5 Cabriolet quattro,8.673807732682347
Subcompact Cars,Audi_A5 quattro,8.673807732682347
Subcompact Cars,Audi_RS 5,11.257733628160457
